platform,content_category,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at,transcript,clean_transcript,language,transcript_word_count,transcript_length,word_count,processed_text,topic,topic_label,has_transcript
youtube,Movies & Series,s8cP1Vt5US8,https://www.youtube.com/watch?v=s8cP1Vt5US8,『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2,,131722,102843,4983,MAPPA CHANNEL,,2026-06-19 15:08:11.569005,,,unknown,,,0,,5,trailer / now / official,False
youtube,Gaming,EiQEBYDox_k,https://www.youtube.com/watch?v=EiQEBYDox_k,Grand Theft Auto VI: Official Cover Art Reveal,"GTA 6, Grand Theft Auto VI, Grand Theft Auto 6, GTAVI, GTA VI, Pre-Order, Pre-Orders",7028784,792817,58851,Rockstar Games,,2026-06-19 15:08:11.569043,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Music,B5iB9c6VALI,https://www.youtube.com/watch?v=B5iB9c6VALI,عشقك غير مؤهل (Instrumental),"Cheb Hamza 31, عشقك غير مؤهل (Instrumental)",30917,563,0,Cheb Hamza 31 - Topic,,2026-06-19 15:08:11.569197,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Music,Vkbh12yuwWY,https://www.youtube.com/watch?v=Vkbh12yuwWY,Gnawi - 3ALAL Feat. Salim Rbati  [Officiel Audio],,128222,7360,647,Gnawi,,2026-09-22T19:26:51.720637+00:00,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Gaming,fAXzLmsbrd8,https://www.youtube.com/watch?v=fAXzLmsbrd8,Escape From Playtime | Release Date Trailer,,2059574,88001,4963,Mob Entertainment,,2026-09-22T19:26:51.720637+00:00,,,unknown,,,0,,5,trailer / now / official,False
youtube,Gaming,dnuhoREFmY0,https://www.youtube.com/watch?v=dnuhoREFmY0,هروب اللسان بروبلوكس! 👅😱 أغرب لعبة,"روبلوكس, roblox, إل_حسامو, حسام_كويك, elhusamo, husamkwaik, gaming",392760,8636,1416,El Husamo X,,2026-09-22T19:26:51.720637+00:00,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Music,akVDNs7qpYg,https://www.youtube.com/watch?v=akVDNs7qpYg,El Houcine Amrrakchi - AYATMATNGH |2026| الحسين أمراكشي - أيايتماتنغ,"El_Houcine_Amrrakchi, الحسين_امراكشي, amarg_a9dim",32892,2052,407,El Houcine Amrrakchi,,2026-09-22T19:26:51.720637+00:00,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Movies & Series,4HJjUxiBq64,https://www.youtube.com/watch?v=4HJjUxiBq64,TOUMAAL GOR - Bande Annonce,"toumaalgor, pikiniproduction, seriesenegalaise, series, cinema, kebetu, love, drama, team221",469261,14061,250,Pikini Production,,2026-09-22T19:26:51.720637+00:00,,,unknown,,,0,,2,official / 2026 / لعبة,False
youtube,Music,Mb8nCKrTReY,https://www.youtube.com/watch?v=Mb8nCKrTReY,Zina Daoudia - Meriem [Official Music Video] (2026) / زينة الداودية - مريم,"Zina Daoudia, zina daoudia, zina dawoudia, زينة الداودية, zina daoudya, zina dawoudia 2022, zina daoudia 2022, moroccan rai, zina rai songs, ZinaDaoudia, Daoudia, زينة الداودية 2022, جديد الداودية, zinadaoudia, جديدالداودية, zina el daoudia",111028,3845,639,Zina Daoudia | زينة الداودية,/content/drive/MyDrive/morocco_trends/downloads/youtube/Mb8nCKrTReY.webm,2026-06-19 15:08:11.568937, tiefنا مهم معكم العderيب أمرهم العديد أется للتexpاق كمرلم العربة الميلةад Где اجل بال Seiten علاد ال defeat أدّك في عمر حسار cud long أدّك في عمر حسار بعدنا الطوقي أدّك في بمريه Carrie whom نركي بMich�가 steady عمر حساب عدلت رقي نظر يلي بمريم نظر يلي بمريم يلي بيوا عكلي كي خلق نظر جبعك يا مريم يلي بيوا عكلي كي خلق نظر جبعك يا مريم عهكل حسيكو بنبت شي ملعتو فالمتحد ستبرضهم ثمجر�� الغлич خ΂ل يا رهم عقوبك تلاش لكدو يا رهم عقوبك على شلكدو عنار منارين أقول إنها فشطعوها أقول إنها فشطعيها يتمرتك إلا شورتدوها يتمرتك إلا شورتدوها كراتني فبور على شبه مني كراتني فبور على شبه مني ننديك بشيحة عجي وشيحي لا أخبت نكشي حجة حجي وجييني لا أقول إنها فسترغاك لا أقول إنها فسترغاك لنمرتها من يواشه كنوال لنمرتها في يواشه كنوال لا أشتيف مقوب عدعيلي تشتش ركوب عدعيلي وخات موتيوتي ينمت مصليشيلي ا恨ها وقفابط بيته معتي نكشي ا incredالنا من يواشه كنوال لا أغورتها فسترغاك لنمرتها في يواشه كنوال لنمرتها في يواشه كنوال,tiefنا مهم معكم العderيب أمرهم العديد أется للتexpاق كمرلم العربة الميلةад где اجل بال seiten علاد ال defeat أد ك في عمر حسار cud long أد ك في عمر حسار بعدنا الطوقي أد ك في بمريه carrie whom نركي بmich 가 steady عمر حساب عدلت رقي نظر يلي بمريم نظر يلي بمريم يلي بيوا عكلي كي خلق نظر جبعك يا مريم يلي بيوا عكلي كي خلق نظر جبعك يا مريم عهكل حسيكو بنبت شي ملعتو فالمتحد ستبرضهم ثمجر الغлич خ ل يا رهم عقوبك تلاش لكدو يا رهم عقوبك على شلكدو عنار منارين أقول إنها فشطعوها أقول إنها فشطعيها يتمرتك إلا شورتدوها يتمرتك إلا شورتدوها كراتني فبور على شبه مني كراتني فبور على شبه مني ننديك بشيحة عجي وشيحي لا أخبت نكشي حجة حجي وجييني لا أقول إنها فسترغاك لا أقول إنها فسترغاك لنمرتها من يواشه كنوال لنمرتها في يواشه كنوال لا أشتيف مقوب عدعيلي تشتش ركوب عدعيلي وخات موتيوتي ينمت مصليشيلي ا恨ها وقفابط بيته معتي نكشي ا incredالنا من يواشه كنوال لا أغورتها فسترغاك لنمرتها في يواشه كنوال لنمرتها في يواشه كنوال,ar,168.0,168.0,173,tiefنا مهم معكم العderيب أمرهم العديد أется للتexpاق كمرلم العربة الميلةад где اجل بال seiten علاد defeat عمر حسار cud long عمر حسار بعدنا الطوقي بمريه carrie whom نركي بmich steady عمر حساب عدلت رقي نظر يلي بمريم نظر يلي بمريم يلي بيوا عكلي خلق نظر جبعك مريم يلي بيوا عكلي خلق نظر جبعك مريم عهكل حسيكو بنبت ملعتو فالمتحد ستبرضهم ثمجر الغлич رهم عقوبك تلاش لكدو رهم عقوبك شلكدو عنار منارين أقول إنها فشطعوها أقول إنها فشطعيها يتمرتك إلا شورتدوها يتمرتك إلا شورتدوها كراتني فبور شبه مني كراتني فبور شبه مني ننديك بشيحة عجي وشيحي أخبت نكشي حجة حجي وجييني أقول إنها فسترغاك أقول إنها فسترغاك لنمرتها يواشه كنوال لنمرتها يواشه كنوال أشتيف مقوب عدعيلي تشتش ركوب عدعيلي وخات موتيوتي ينمت مصليشيلي ا恨ها وقفابط بيته معتي نكشي incredالنا يواشه كنوال أغورتها فسترغاك لنمرتها يواشه كنوال لنمرتها يواشه كنوال,2,official / 2026 / لعبة,True
youtube,Movies & Series,62bIsvRcPv0,https://www.youtube.com/watch?v=62bIsvRcPv0,SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),,14834311,510435,21616,Sony Pictures Entertainment,,2026-06-19 15:08:11.568976," What is happening to me? Did you miss Miss Bitey? God, I'm losing my mind. I am totally out of control. I gotta fix whatever this is right now. Final semester, MIT. Dad, what do you think he's actually watching these? Uh, maybe someone. Okay, well, bye, someone. What the... Dr. Banner, you found a way to suppress mutating DNA, right? If you're similar to this, I'll run. Ah! So could you get rid of the bad aspects but keep them good? How would you decide? With parts of nature, I'll go to bed. Well, sorry about that. You're not one of my students, are you? It appears we're faced with a threat we can't control. One we can't even see. You're the only one who's immune to it. You're the only one who can sense it. What do you think they're looking for? Oh, see you stumbled across my board. I'm not one of those weirdos, I swear. He's a little weird. I'm MJ. You two don't know each other? No, Spider-Man. You okay? You can get rid of that monster inside you? Think of my go-see how MJ's doing. You're not gonna get away with this. But he might. I didn't know you could get that big. You're in danger. You just have to trust me. What? This whole thing, I get really scary. Who the hell is that? What the hell are you? Frank, please. I don't have anywhere else to go. By the people who love you, you're just gonna let him go himself. Love you because you're you. If you're gonna do something, you better do it now. Never forget that no matter how powerful you've become. I miss you, mate. Huh. All right, just give me a sec. I'm not in high school anymore. Oh. Did you stretch your big stretcher? It's so good for you. You ready?",what is happening to me did you miss miss bitey god i m losing my mind i am totally out of control i gotta fix whatever this is right now final semester mit dad what do you think he s actually watching these uh maybe someone okay well bye someone what the dr banner you found a way to suppress mutating dna right if you re similar to this i ll run ah so could you get rid of the bad aspects but keep them good how would you decide with parts of nature i ll go to bed well sorry about that you re not one of my students are you it appears we re faced with a threat we can t control one we can t even see you re the only one who s immune to it you re the only one who can sense it what do you think they re looking for oh see you stumbled across my board i m not one of those weirdos i swear he s a little weird i m mj you two don t know each other no spider man you okay you can get rid of that monster inside you think of my go see how mj s doing you re not gonna get away with this but he might i didn t know you could get that big you re in danger you just have to trust me what this whole thing i get really scary who the hell is that what the hell are you frank please i don t have anywhere else to go by the people who love you you re just gonna let him go himself love you because you re you if you re gonna do something you better do it now never forget that no matter how powerful you ve become i miss you mate huh all right just give me a sec i m not in high school anymore oh did you stretch your big stretcher it s so good for you you ready,en,314.0,314.0,344,what happening did miss miss bitey god losing mind totally out control gotta fix whatever right now final semester mit dad what think actually watching these maybe someone okay well bye someone what banner found way suppress mutating dna right similar run could get rid bad aspects but keep them good how would decide parts nature bed well sorry about not one students appears faced threat can control one can even see only one who immune only one who can sense what think they looking see stumbled across board not one those weirdos swear little weird two don know each other spider man okay can get rid monster inside think see how doing not gonna get away but might didn know could get big danger trust what whole thing get scary who hell what hell frank please don anywhere else people who love gonna let him himself love because gonna something better now never forget matter how powerful become miss mate huh all right give sec not high school anymore did stretch your big stretcher good ready,4,one / not / yeah,True
