platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at
youtube,s04jJ_-Q8EQ,https://www.youtube.com/watch?v=s04jJ_-Q8EQ,Muslim - 7wal Nas  |New Version 2026|  مـسـلـم ـ حـوال الـنـاس,"MUSLIM, 7WAL_NAS, NEW_VERSION",107547,6712,675,Muslim مسلم,,2026-09-17T15:51:12.917976+00:00
youtube,UefqOM2di-s,https://www.youtube.com/watch?v=UefqOM2di-s,LACRIM - DE MA FENÊTRE (TRAILER OFFICIEL),,99244,2793,134,Lacrim,,2026-09-17T15:51:12.917976+00:00
youtube,qrAeqY2mN9w,https://www.youtube.com/watch?v=qrAeqY2mN9w,🔴 LIVE - Backrooms | درت ليهم أخطر خيانة… ما فهمو والو 😂,,68351,4877,122,Meed Live,,2026-09-17T15:51:12.917976+00:00
youtube,UWTCK2JY2jY,https://www.youtube.com/watch?v=UWTCK2JY2jY,Mohamed benchenet rsaskoum mayakdi walou (video clip 2026)رصاصكم ما يقدي والو,,229550,7202,482,Mohamed Benchenet,,2026-09-17T15:51:12.917976+00:00
youtube,1HCrV7mFWr8,https://www.youtube.com/watch?v=1HCrV7mFWr8,WILDERNESS BOUND | Official Trailer,,2510988,63391,3035,Minecraft,,2026-09-17T15:51:12.917976+00:00
youtube,u6nFW7tCnNs,https://www.youtube.com/watch?v=u6nFW7tCnNs,لعبت مع اغبى الاصدقاء😂فيت لعبة تقليد الاصوات🤣MIMIC PARTY!,"hichampanda, هشام_باندا, simulator, gaming, games, gameplay, trending",59997,1223,48,Hicham Panda,,2026-09-17T15:51:12.917976+00:00
youtube,LCxzqcQAWrg,https://www.youtube.com/watch?v=LCxzqcQAWrg,tghamzou darou signal - تغامزو بالعنين,,28721,593,38,IA RAI STYLE - Topic,,2026-09-17T15:51:12.917976+00:00
youtube,H1hVEfrp8qE,https://www.youtube.com/watch?v=H1hVEfrp8qE,أول يوتيوبر يجرب مهنة لاعب في FC 27,,715311,43865,916,Abdo 2xd,,2026-09-17T15:51:12.917976+00:00
youtube,94kea2xwHmc,https://www.youtube.com/watch?v=94kea2xwHmc,Djalil Palermo - Sabran صبراً (Official Music visualizer),"djalilpalermo, Sabran, sefarrecords, 2026",105786,4803,410,DJALIL PALERMO,,2026-09-17T15:51:12.917976+00:00
youtube,4AeVBbqB9dI,https://www.youtube.com/watch?v=4AeVBbqB9dI,مودوكس يصدم الجميع في بطولة فري فاير  🏆🔥,"Modox, مودوكس, FreeFire, GarenaFreeFire, FreeFireMorocco, FreeFireArabic, FreeFireArab, FreeFireGameplay, FreeFireLive, FreeFireRanked, FreeFireClashSquad, FreeFireTournament, FreeFireCustomRoom, FreeFireHighlights, FreeFireHeadshot, FreeFire1v4, FreeFireSoloVsSquad, FreeFirePro, FreeFireEsports, FreeFireTips, FreeFireSettings, FreeFireSensitivity, MobileGaming, MoroccoGaming, ArabGaming, Gaming, Trending, FF, FFMorocco, FFArabic, مودوكس_فري_فاير, فري_فاير, بطولة_فري_فاير, تحدي_فري_فاير, freefirehighliths​, freefirekaoz, freefireconta​​​, spas12​​​, aimbotfreefire​​​, hackfreefire​​​, sho​​​, shotgun​​​, x1freefire​​​, freefirebrasil​​​, freefireclipes​​​, melhoresmomentos​​​, handcam​​​, loud​​​, freefire​​​, freefirehighlights​​​, equipou​​​, habash​​​, bestplayer​​​, m1014​​​, dpifreefire​​​, contarara​​​, bestmoments​​​, Iphonefreefire​​​, androidfreefire​​​, emuladorfreefire​​​, heroic​​​, season​​​, highlight​​​, vendeconta​​​, lightff​​​, melhorconfiguração​​​, freefireclips​​​, emuladorsmartgaga​​​, bluestacks​​​, Iphone8plus​​​, iphone​​​, travando​​​, iosfreefire​​​, j5prime​​​, j2prime​​​, mestre​​​, clipes​​​, хардскилл​​​, скепта​​​, а10​​​, баги​​​, скилл​​​, чювствительность​​​, смешные​​​, the​​​, фрифаер​​​, лучшая​​​, топ​​​, азамм​​​, смайл​​​, игры​​​, самсунг​​​, gt​​​, pvs​​​, run​​​, чувствительность​​​, free​​​, лучшаячувствительность​​​",65534,3883,126,MODOX - مودوكْس,,2026-09-17T15:51:12.917976+00:00
